artists,album_name,track_name,danceability,energy,track_genre
Gen Hoshino,Comedy,Comedy,0.676,0.461,acoustic
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,0.42,0.166,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,0.438,0.359,acoustic
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,0.266,0.0596,acoustic
Chord Overstreet,Hold On,Hold On,0.618,0.443,acoustic
Tyrone Wells,Days I Will Remember,Days I Will Remember,0.688,0.481,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,0.407,0.147,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,0.703,0.444,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,0.625,0.414,acoustic
Ross Copperman,Hunger,Hunger,0.442,0.632,acoustic
Zack Tabudlo,Episode,Give Me Your Forever,0.627,0.363,acoustic
Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,0.483,0.303,acoustic
Dan Berk,Solo,Solo,0.489,0.314,acoustic
Anna Hamilton,Bad Liar,Bad Liar,0.691,0.234,acoustic
Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,0.755,0.78,acoustic
Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,0.489,0.561,acoustic
Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),0.706,0.112,acoustic
Andrew Foy;Renee Foy,At My Worst,At My Worst,0.795,0.0841,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,0.625,0.414,acoustic
Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,0.717,0.32,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,0.703,0.444,acoustic
Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,0.678,0.351,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,0.407,0.147,acoustic
Jason Mraz,Coffee Moment,93 Million Miles,0.572,0.454,acoustic
Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0.796,0.667,acoustic
Jason Mraz,Mellow Adult Pop,Bella Luna,0.755,0.454,acoustic
Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0.62,0.309,acoustic
Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0.633,0.429,acoustic
Jason Mraz,Christmas Time,Winter Wonderland,0.62,0.309,acoustic
Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0.62,0.309,acoustic
Jason Mraz,Merry Christmas,Winter Wonderland,0.62,0.309,acoustic
Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0.62,0.309,acoustic
Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0.593,0.455,acoustic
Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0.296,0.206,acoustic
Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0.296,0.206,acoustic
Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0.296,0.206,acoustic
KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0.409,0.153,acoustic
Brandi Carlile,rainy day indie,Throwing Good After Bad,0.501,0.0952,acoustic
Brandi Carlile,Coffee Moment,This Time Tomorrow,0.606,0.326,acoustic
