Utterance,Response1,Reponse2,Response3,Response4,Reopnse5,Resopnse6
thanks,no worries,that's alright,don't worry about it,no problem,it's no bother,:)
that's really interesting,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
oh i didn't know that,every day is a school day,i'm also learning,the more you know,I'm always happy to help,and now you know,it's interesting
that makes sense,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
you're absolutely right about that,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
i can totally relate to that,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
wow that's impressive,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
good to know thanks for sharing, no worries,that's alright,don't worry about it,no problem,it's no bother,:)
that's such a good point,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
good to know,i know right,yeah,isn't it?,i think so too,i'm full of fun facts,it is indeed
thank you,no worries,that's alright,don't worry about it,no problem,it's no bother,:)
how's it going,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
what's up,not much new happening over here,i've got a lot on behind the scenes but you don't need to worry,there's a lot going on but i'm happy to talk to you,there are lots of inner workings but we don't need to worry,i'm just happy to be here,i'm talking to you!
how've you been,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
how's everything,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
how's life treating you,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
what's new with you,not much new happening over here,i've got a lot on behind the scenes but you don't need to worry,there's a lot going on but i'm happy to talk to you,there are lots of inner workings but we don't need to worry,i'm just happy to be here,i'm talking to you!
how are things,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
what's happening,not much new happening over here,i've got a lot on behind the scenes but you don't need to worry,there's a lot going on but i'm happy to talk to you,there are lots of inner workings but we don't need to worry,i'm just happy to be here,i'm talking to you!
how's your day going,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
everything good with you,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
what's been going on,not much new happening over here,i've got a lot on behind the scenes but you don't need to worry,there's a lot going on but i'm happy to talk to you,there are lots of inner workings but we don't need to worry,i'm just happy to be here,i'm talking to you!
how are you holding up,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
how's your week so far,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
how do you feel today,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
you doing okay,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
how's life,i'm doing very well thank you,everything is all good on my end,fairly well to be honest,i'm peachy keen,I've been doing well thank you,Never been better!
